,Requirements,Responsibilities,Conditions
10,['Портфолио'],"['Многопоточные приложения', 'Android']","['Подарок в честь дня рождения', 'Удаленная работа', 'Уютный офис']"
11,['Опыт SAS'],['Статистические модели'],"['Участие в крупных проектах', 'Бизнес-ланч']"
12,"['Фреймворк hadoop', 'git', 'Принципы CI/CD']",['DevOps'],['Повышение квалификации']
13,"['Grafana', 'Работа с серверами']",['Linux'],"['Фитнес-зал', 'Митапы']"
14,['Работа в ИТ'],['Swift'],['Минимум бюрократии']
15,"['Оптимизация веб-серверов', 'Базы данных']",['Тест-кейсы'],['Паркинг']
16,['Владение front-end'],['Git'],['Прозрачная система']
17,['Теория вероятности и математической статистики'],['Машинное обучение'],['Мобильная связь']
18,['Работа с рисками'],['Постановка задач'],['Финансирование обучения']
19,['Многопоточность'],"['Рефакторинг кода', 'СУБД Oracle']","['Масштабные проекты', 'Релокация']"
